Date,Open,High,Low,Close,Volume
12/23/2018 15:00,126.63,127.04,124.1,126.12,3529.49
12/23/2018 16:00,126.12,129.2,124.66,128.59,2840.05
12/23/2018 17:00,128.59,128.6,127.28,128.26,1745.98
12/23/2018 18:00,128.26,129.76,127.22,129.29,1725.25
12/23/2018 19:00,129.29,129.38,127.8,128.1,1384.83
12/23/2018 20:00,128.1,129.12,127,129.12,1561.48
12/23/2018 21:00,129.12,131.54,128.89,129.76,2105.23
12/23/2018 22:00,129.76,130.34,127.81,130.15,1614.03
12/23/2018 23:00,130.15,130.77,129.16,129.73,874.15
12/24/2018 0:00,129.73,146.01,129.41,143.95,16451.31
12/24/2018 1:00,143.95,149.25,141.93,147.76,8993.49
12/24/2018 2:00,147.76,149.99,145.94,148.86,7017.25
12/24/2018 3:00,148.86,151.05,147.76,150.02,5803.66
12/24/2018 4:00,150.02,150.85,147.5,148.86,3632.56
12/24/2018 5:00,148.86,151.38,148.19,148.23,4202.22
12/24/2018 6:00,148.23,148.5,144.57,147.02,6501.62
12/24/2018 7:00,147.02,148.99,145.64,146.65,1885.98
12/24/2018 8:00,146.65,149.68,145,145.75,5131.03
12/24/2018 9:00,145.75,148.16,145.1,147.29,4663.17
12/24/2018 10:00,147.29,147.29,141.55,143.32,4550.12
12/24/2018 11:00,143.32,145.21,142.77,144.05,4503.59
12/24/2018 12:00,144.05,145.07,143.05,143.68,5047.92
12/24/2018 13:00,143.68,148.38,143.33,147.52,3809.14
12/24/2018 14:00,147.52,157.72,146.31,156,16559.56
12/24/2018 15:00,156,159.11,144.18,144.18,10413.06
12/24/2018 16:00,144.18,148.56,142.13,145.99,12299.82
12/24/2018 17:00,145.99,148.1,145.96,146.91,2666.88
12/24/2018 18:00,146.91,146.91,136.7,139.57,8921.52
12/24/2018 19:00,139.57,139.59,132,136.76,9383.84
12/24/2018 20:00,136.76,139,136.54,137.93,4300.22
12/24/2018 21:00,137.93,142.9,137.2,142.22,6976.36
12/24/2018 22:00,142.22,142.22,138.77,140.9,1897.99
12/24/2018 23:00,140.9,144.51,136.8,139,3186.55
12/25/2018 0:00,139,140.01,127.51,129.32,15094.75
12/25/2018 1:00,129.32,132.1,129.02,130.98,5360.77
12/25/2018 2:00,130.98,131.51,128.7,130.32,2538.98
12/25/2018 3:00,130.32,131.28,123.16,124.34,6608.51
12/25/2018 4:00,124.34,126.91,123.7,126.34,2621.26
12/25/2018 5:00,126.34,129,125.21,127.39,2573.16
12/25/2018 6:00,127.39,128.22,125.25,126.98,2799.2
12/25/2018 7:00,126.98,130.32,126.98,127.8,3451.25
12/25/2018 8:00,127.8,128.74,125.25,126.31,8379.26
12/25/2018 9:00,126.31,131.03,125.92,129.08,6581.11
12/25/2018 10:00,129.08,129.55,126.69,127.25,3488.46
12/25/2018 11:00,127.25,127.95,123.5,126.76,5410.33
12/25/2018 12:00,126.76,127.99,125.36,127.63,6135.7
12/25/2018 13:00,127.63,128,124.71,125.84,2763.18
12/25/2018 14:00,125.84,126.54,124.12,124.72,2255.4
12/25/2018 15:00,124.72,125.23,120.62,123.05,6424.89
12/25/2018 16:00,123.05,125.96,122.79,124.73,2580.17
12/25/2018 17:00,124.73,124.81,123,123.88,2262.62
12/25/2018 18:00,123.88,128.42,123.65,128.36,3353.62
12/25/2018 19:00,128.36,130.1,127.95,128.65,2203.81
12/25/2018 20:00,128.65,132.39,128.45,130.46,3419.02
12/25/2018 21:00,130.46,130.82,128.71,130.52,3156.32
12/25/2018 22:00,130.52,131.56,128.08,128.49,2406.71
12/25/2018 23:00,128.49,128.95,126.32,128.81,2393.55
12/26/2018 0:00,128.81,130.86,127.4,129.97,2622.32
12/26/2018 1:00,129.97,135.86,129.14,133.13,7193.17
12/26/2018 2:00,133.13,136.76,132.02,135.15,6007.11
12/26/2018 3:00,135.15,135.15,133.04,133.15,1136.81
12/26/2018 4:00,133.15,133.74,131.75,133.22,3829.71
12/26/2018 5:00,133.22,134.76,132.58,134.07,1776.91
12/26/2018 6:00,134.07,134.54,131.84,132.59,2199.92
12/26/2018 7:00,132.59,132.59,129.9,131.06,2750.58
12/26/2018 8:00,131.06,131.84,127.09,128.7,2931.76
12/26/2018 9:00,128.7,129.27,126.38,126.51,1208.83
12/26/2018 10:00,126.51,128.48,125.34,128.48,2064.57
12/26/2018 11:00,128.48,128.57,126.68,127.58,2286.39
12/26/2018 12:00,127.58,130.99,126.98,128.82,4155.71
12/26/2018 13:00,128.82,130.3,128.08,128.88,1655.18
12/26/2018 14:00,128.88,128.96,123.28,124.22,5691.24
12/26/2018 15:00,124.22,126.02,123.78,125.18,2150.96
12/26/2018 16:00,125.18,127.26,124.34,125.97,2740.49
12/26/2018 17:00,125.97,126.87,125.09,126.57,1091.99
12/26/2018 18:00,126.57,126.57,125.47,126.11,1521.33
12/26/2018 19:00,126.11,130.75,126.11,129.54,4217.74
12/26/2018 20:00,129.54,130.35,128.27,128.43,2000.58
12/26/2018 21:00,128.43,128.68,126.91,128.48,1660.57
12/26/2018 22:00,128.48,131.9,128.48,130.85,2681.71
12/26/2018 23:00,130.85,132.28,129.42,130.53,1851.4
12/27/2018 0:00,130.53,131.61,128.71,130.42,1997.5
12/27/2018 1:00,130.42,131.77,127.31,127.77,1062.87
12/27/2018 2:00,127.77,128.27,125.7,127.92,2573.63
12/27/2018 3:00,127.92,127.99,125.96,125.97,714.17
12/27/2018 4:00,125.97,127.3,125.97,126.63,770.54
12/27/2018 5:00,126.63,126.72,121.37,122.87,5623.6
12/27/2018 6:00,122.87,123.74,122.23,122.96,813.29
12/27/2018 7:00,122.96,124.36,122.87,123.5,1481.62
12/27/2018 8:00,123.5,124.77,122.76,123.25,6070.71
12/27/2018 9:00,123.25,124.07,122.66,123.99,3330.02
12/27/2018 10:00,123.99,126.09,123.74,123.84,2340.42
12/27/2018 11:00,123.84,124.45,122.87,124.36,1051.65
12/27/2018 12:00,124.36,124.79,123.55,124,675.96
12/27/2018 13:00,124,125.7,123.73,124.75,5450.89
12/27/2018 14:00,124.75,124.85,123.58,124.21,748.22
12/27/2018 15:00,124.21,124.37,122.51,122.98,1397.01
12/27/2018 16:00,122.98,124.5,122.86,123.31,3758.27
12/27/2018 17:00,123.31,123.71,122.68,122.75,964.17
12/27/2018 18:00,122.75,122.88,120,121.09,3219.74
12/27/2018 19:00,121.09,121.09,114.14,115.21,12571.15
12/27/2018 20:00,115.21,115.93,113.34,114.43,6752.18
12/27/2018 21:00,114.43,116.66,114.18,115.61,2066.53
12/27/2018 22:00,115.61,116.15,114.09,114.44,1211.98
12/27/2018 23:00,114.44,114.97,112.3,114.6,3130.88
12/28/2018 0:00,114.6,115.73,113.76,114.54,1273.12
12/28/2018 1:00,114.54,114.88,113.29,113.37,1820.91
12/28/2018 2:00,113.37,114.69,113.14,114.61,686.45
12/28/2018 3:00,114.61,115.38,114.15,114.26,954.54
12/28/2018 4:00,114.26,114.68,113.28,113.98,1242.64
12/28/2018 5:00,113.98,114.56,113.64,114.13,380.73
12/28/2018 6:00,114.13,115,113.28,115,1133.44
12/28/2018 7:00,115,117.76,115,117.02,4716.65
12/28/2018 8:00,117.02,117.82,116.34,117.73,3179.98
12/28/2018 9:00,117.73,119.01,116.9,117.68,3241.95
12/28/2018 10:00,117.68,117.68,116.24,116.74,1845.77
12/28/2018 11:00,116.74,118.19,116.6,118.19,928.47
12/28/2018 12:00,118.19,118.2,115.13,115.97,2436.51
12/28/2018 13:00,115.97,116.55,113.89,115.51,5393.55
12/28/2018 14:00,115.51,116.08,115.22,116,658.3
12/28/2018 15:00,116,128.89,115.94,127.95,11801.14
12/28/2018 16:00,127.95,134.7,127.95,132.48,10180.2
12/28/2018 17:00,132.48,133.87,131.21,133.22,4708.34
12/28/2018 18:00,133.22,135.96,132.27,134.13,6884.24
12/28/2018 19:00,134.13,138.47,133.57,135.43,15805.54
12/28/2018 20:00,135.43,135.71,133.27,135.17,5373.28
12/28/2018 21:00,135.17,137,134.45,134.6,2131.35
12/28/2018 22:00,134.6,135.58,133.4,133.42,799.08
12/28/2018 23:00,133.42,138.82,132.59,136.94,3475.8
12/29/2018 0:00,136.94,140.89,136.17,137.1,3365.5
12/29/2018 1:00,137.1,138.51,135.62,137.25,1719.19
12/29/2018 2:00,137.25,137.25,135,135.73,754.77
12/29/2018 3:00,135.73,136.66,135,135,449.59
12/29/2018 4:00,135,138.26,134.15,136.8,1961.12
12/29/2018 5:00,136.8,136.86,135.59,135.7,431.86
12/29/2018 6:00,135.7,137.27,134.95,136.78,833.67
12/29/2018 7:00,136.78,138.39,135.95,137.85,1148.82
12/29/2018 8:00,137.85,137.85,136.82,137.35,499.26
12/29/2018 9:00,137.35,139.62,136.61,137.35,2591.39
12/29/2018 10:00,137.35,137.35,131.41,133.68,2750.74
12/29/2018 11:00,133.68,135.4,133.57,134.5,3292.21
12/29/2018 12:00,134.5,137.62,133.17,135.32,5971.78
12/29/2018 13:00,135.32,137.65,134.34,136.75,1239.13
12/29/2018 14:00,136.75,137.74,134.88,136.58,1279.58
12/29/2018 15:00,136.58,139.11,135.56,137.31,1428.44
12/29/2018 16:00,137.31,137.33,131.72,134.83,2029.24
12/29/2018 17:00,134.83,134.95,132.8,134.18,1602.08
12/29/2018 18:00,134.18,134.62,132.75,133.89,493.83
12/29/2018 19:00,133.89,134.71,132.81,134.54,703.18
12/29/2018 20:00,134.54,138,134.19,136.56,736.51
12/29/2018 21:00,136.56,145,136.56,143.63,9795.46
12/29/2018 22:00,143.63,145.35,142.81,143.06,2685.74
12/29/2018 23:00,143.06,150.04,121.7,134.02,19551.43
12/30/2018 0:00,134.02,136.27,128.65,132.02,9906.29
12/30/2018 1:00,132.02,133.61,131.08,132.29,5443.49
12/30/2018 2:00,132.29,133.87,132.29,133.38,570.72
12/30/2018 3:00,133.38,133.38,132.2,132.84,629.39
12/30/2018 4:00,132.84,134.2,132.42,134.2,554.94
12/30/2018 5:00,134.2,134.37,133,133.69,800.41
12/30/2018 6:00,133.69,134.89,133.57,133.78,211.94
12/30/2018 7:00,133.78,134.07,133.22,133.76,284.08
12/30/2018 8:00,133.76,137.48,132.78,136.76,2390.58
12/30/2018 9:00,136.76,138.66,134.49,137.94,4542.01
12/30/2018 10:00,137.94,139.11,136.87,139.11,797.58
12/30/2018 11:00,139.11,139.61,135.86,136.82,1922.54
12/30/2018 12:00,136.82,139,133.84,136.34,1673.72
12/30/2018 13:00,136.34,137.35,135.7,136.28,388.77
12/30/2018 14:00,136.28,138,135.53,137.36,619.03
12/30/2018 15:00,137.36,138.87,136.45,136.67,3155.85
12/30/2018 16:00,136.67,137.72,135.83,136.64,457.05
12/30/2018 17:00,136.64,137.19,136.22,136.6,496.31
12/30/2018 18:00,136.6,137.84,136.4,137.32,499.59
12/30/2018 19:00,137.32,140.35,134,136.82,3400.57
12/30/2018 20:00,136.82,137.99,135.99,137.08,1007.25
12/30/2018 21:00,137.08,139.18,136.86,138.28,1028.25
12/30/2018 22:00,138.28,138.46,137.29,137.8,203.57
12/30/2018 23:00,137.8,139.59,137.71,138.56,4968.57
12/31/2018 0:00,138.56,139.01,137.3,137.81,1709.2
12/31/2018 1:00,137.81,137.81,134.54,136.11,1979.85
12/31/2018 2:00,136.11,136.68,133.62,134.11,1343.58
12/31/2018 3:00,134.11,135.75,134.08,135.23,377.82
12/31/2018 4:00,135.23,135.95,135.11,135.55,412.67
12/31/2018 5:00,135.55,135.55,134.47,135.23,837.39
12/31/2018 6:00,135.23,136.02,134.92,135.68,202.7
12/31/2018 7:00,135.68,135.81,135.11,135.4,310.35
12/31/2018 8:00,135.4,135.4,134.82,135,345.04
12/31/2018 9:00,135,136.86,134.58,135.59,1313.49
12/31/2018 10:00,135.59,135.98,135.27,135.72,423.95
12/31/2018 11:00,135.72,135.72,133.74,134.68,1717.95
12/31/2018 12:00,134.68,135.46,133.82,135.35,2068.85
12/31/2018 13:00,135.35,135.88,135.22,135.48,457.79
12/31/2018 14:00,135.48,137.81,134.65,136.66,2553.41
12/31/2018 15:00,136.66,137.14,134.55,136.07,777.25
